id,produto,quantidade,preço,data
1,Caderno,1,15.00,01/01/2024
2,Lapis,1,1.50,01/01/2024
3,lapiseira ,3,4.80,02/01/2024
4,borracha,2,1.00,02/01/2024
5,Iphone 15,1,7000.00,08/01/2024
6,carregador celular,1,199.00,09/01/2024
7,Macbook air ,1,10000.00,15/01/2024
8,Playstation 5,1,3999.00,29/01/2024
9,Controle Playstation 5,2,429.00,02/02/2024
10,Nintendo Switch Oled,1,2039.00,08/02/2024
11,Mario Kart – Nintendo Switch,1,299.00,15/02/2024
12,Mochila Hurley,2,259.00,22/02/2024
13,Travesseiro,5,49.90,29/02/2024
14,Arroz 5kg,4,39.90,01/03/2024
15,Azeite 500 ml,1,49.90,01/03/2024
16,café,2,10.99,01/03/2024
17,acucar,5,5.00,05/03/2024
18,leite,10,4.00,05/03/2024
19,bolacha,2,5.00,10/03/2024
20,Coca cola zero,5,10.00,15/03/2024
21,Guarana antarctica,5,10.00,20/03/2024
22,Papel Higienico,1,15.00,20/03/2024
23,Amaciante,1,25.00,22/03/2024
24,Desinfetante,4,7.99,23/03/2024
25,Sabao em po Omo,1,22.99,25/03/2024
26,Escova dental,1,10.00,26/03/2024
27,Creme dental,1,15.00,05/04/2024
28,Fio dental,3,5.00,06/04/2024
29,Enxaguante bucal,1,22.99,15/04/2024
30,Desodorante,1,29.99,01/06/2024
